location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2020-01-06 06:07:00 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:12:35 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:19:00 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:24:37 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:29:33 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:29:37 +0100;18;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:31:47 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:32:59 +0100;11;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:38:59 +0100;7;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:44:01 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:49:45 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:54:16 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 06:57:56 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:02:36 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:09:12 +0100;6;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:13:47 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:18:28 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:24:58 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:27:39 +0100;4;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:32:04 +0100;2;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:37:49 +0100;6;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:43:58 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 07:58:21 +0100;3;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:04:19 +0100;8;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:09:20 +0100;5;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:14:14 +0100;11;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:19:54 +0100;7;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:23:51 +0100;11;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:29:13 +0100;8;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:33:30 +0100;1;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:39:50 +0100;13;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:44:28 +0100;17;regular;""
Königstraße (Mitte), Stuttgart;2020-01-06 08:49:57 +0100;10;regular;""
